iteration,camera1_pose,camera3_pose
145,"[0.243650, 0.044933, 0.341911, 3.104489, 0.006508, 3.118794]","[0.143077, 0.185467, 0.504952, -0.424646, -0.369002, 1.908180]"
146,"[0.243650, 0.044933, 0.341911, 3.104489, 0.006508, 3.118794]","[0.143077, 0.185467, 0.504952, -0.424646, -0.369002, 1.908180]"
147,"[0.243650, 0.044933, 0.341911, 3.104489, 0.006508, 3.118794]","[0.143076, 0.185457, 0.504923, -0.424930, -0.368226, 1.907194]"
148,"[0.243635, 0.044920, 0.341918, 3.104223, 0.005956, 3.118225]","[0.143076, 0.185457, 0.504923, -0.424930, -0.368226, 1.907194]"
149,"[0.243635, 0.044920, 0.341918, 3.104223, 0.005956, 3.118225]","[0.143170, 0.185510, 0.505102, -0.424815, -0.368850, 1.908626]"
150,"[0.243629, 0.044932, 0.341907, 3.104202, 0.006684, 3.118703]","[0.143170, 0.185510, 0.505102, -0.424815, -0.368850, 1.908626]"
151,"[0.243629, 0.044932, 0.341907, 3.104202, 0.006684, 3.118703]","[0.143170, 0.185510, 0.505102, -0.424815, -0.368850, 1.908626]"
152,"[0.243629, 0.044932, 0.341907, 3.104202, 0.006684, 3.118703]","[0.143193, 0.185591, 0.505281, -0.424462, -0.368727, 1.907921]"
153,"[0.243646, 0.044931, 0.341926, 3.104444, 0.006147, 3.118401]","[0.143193, 0.185591, 0.505281, -0.424462, -0.368727, 1.907921]"
154,"[0.243646, 0.044931, 0.341926, 3.104444, 0.006147, 3.118401]","[0.143034, 0.185395, 0.504806, -0.425166, -0.369284, 1.907284]"
155,"[0.243683, 0.044938, 0.341968, 3.104305, 0.005879, 3.118421]","[0.143034, 0.185395, 0.504806, -0.425166, -0.369284, 1.907284]"
156,"[0.243683, 0.044938, 0.341968, 3.104305, 0.005879, 3.118421]","[0.143034, 0.185395, 0.504806, -0.425166, -0.369284, 1.907284]"
157,"[0.243683, 0.044938, 0.341968, 3.104305, 0.005879, 3.118421]","[0.143026, 0.185396, 0.504755, -0.424821, -0.368619, 1.908022]"
158,"[0.243717, 0.044952, 0.342024, 3.104451, 0.005864, 3.118587]","[0.143026, 0.185396, 0.504755, -0.424821, -0.368619, 1.908022]"
159,"[0.243717, 0.044952, 0.342024, 3.104451, 0.005864, 3.118587]","[0.143026, 0.185396, 0.504755, -0.424821, -0.368619, 1.908022]"
160,"[0.243717, 0.044952, 0.342024, 3.104451, 0.005864, 3.118587]","[0.143106, 0.185520, 0.505014, -0.424764, -0.369939, 1.908344]"
161,"[0.243679, 0.044935, 0.341971, 3.104847, 0.005930, 3.119320]","[0.143106, 0.185520, 0.505014, -0.424764, -0.369939, 1.908344]"
162,"[0.243679, 0.044935, 0.341971, 3.104847, 0.005930, 3.119320]","[0.143106, 0.185520, 0.505014, -0.424764, -0.369939, 1.908344]"
163,"[0.243679, 0.044935, 0.341971, 3.104847, 0.005930, 3.119320]","[0.143099, 0.185502, 0.505013, -0.425259, -0.368532, 1.907684]"
164,"[0.243724, 0.044962, 0.342063, 3.104362, 0.005854, 3.119372]","[0.143099, 0.185502, 0.505013, -0.425259, -0.368532, 1.907684]"
165,"[0.243724, 0.044962, 0.342063, 3.104362, 0.005854, 3.119372]","[0.143099, 0.185502, 0.505013, -0.425259, -0.368532, 1.907684]"
166,"[0.243724, 0.044962, 0.342063, 3.104362, 0.005854, 3.119372]","[0.143084, 0.185466, 0.504986, -0.425084, -0.368761, 1.908058]"
167,"[0.243628, 0.044924, 0.341872, 3.104532, 0.006610, 3.118731]","[0.143084, 0.185466, 0.504986, -0.425084, -0.368761, 1.908058]"
168,"[0.243628, 0.044924, 0.341872, 3.104532, 0.006610, 3.118731]","[0.143084, 0.185466, 0.504986, -0.425084, -0.368761, 1.908058]"
169,"[0.243628, 0.044924, 0.341872, 3.104532, 0.006610, 3.118731]","[0.143186, 0.185547, 0.505205, -0.424037, -0.368082, 1.908366]"
170,"[0.243676, 0.044927, 0.341949, 3.104426, 0.006658, 3.118501]","[0.143186, 0.185547, 0.505205, -0.424037, -0.368082, 1.908366]"
171,"[0.243676, 0.044927, 0.341949, 3.104426, 0.006658, 3.118501]","[0.143165, 0.185508, 0.505120, -0.425240, -0.369096, 1.908384]"
172,"[0.243713, 0.044950, 0.342030, 3.104469, 0.005972, 3.118554]","[0.143165, 0.185508, 0.505120, -0.425240, -0.369096, 1.908384]"
173,"[0.243713, 0.044950, 0.342030, 3.104469, 0.005972, 3.118554]","[0.143165, 0.185508, 0.505120, -0.425240, -0.369096, 1.908384]"
174,"[0.243713, 0.044950, 0.342030, 3.104469, 0.005972, 3.118554]","[0.143222, 0.185632, 0.505433, -0.424429, -0.370360, 1.909280]"
175,"[0.243657, 0.044934, 0.341960, 3.104596, 0.006235, 3.118819]","[0.143222, 0.185632, 0.505433, -0.424429, -0.370360, 1.909280]"
176,"[0.243657, 0.044934, 0.341960, 3.104596, 0.006235, 3.118819]","[0.143222, 0.185632, 0.505433, -0.424429, -0.370360, 1.909280]"
177,"[0.243657, 0.044934, 0.341960, 3.104596, 0.006235, 3.118819]","[0.143127, 0.185461, 0.505042, -0.424416, -0.368301, 1.907781]"
